TermIRI,Term_label,ParentTermIRI,Parent_label,Alternative term,Definition
http://purl.obolibrary.org/obo/VTO_0055013,Renova,http://purl.obolibrary.org/obo/VTO_0054819,Rivulidae,,
http://purl.obolibrary.org/obo/VTO_0023246,Ara,http://purl.obolibrary.org/obo/VTO_0023228,Psittacidae,,
http://purl.obolibrary.org/obo/VTO_0053903,Pegasus,http://purl.obolibrary.org/obo/VTO_0053902,Pegasidae,,
http://purl.obolibrary.org/obo/VTO_0022831,Claravis,http://purl.obolibrary.org/obo/VTO_0022678,Columbidae,,
http://purl.obolibrary.org/obo/VTO_0001462,Teleostomi,http://purl.obolibrary.org/obo/VTO_0000008,Gnathostomata,,
http://purl.obolibrary.org/obo/VTO_0001463,Euteleostomi,http://purl.obolibrary.org/obo/VTO_0001462,Teleostomi,,
http://purl.obolibrary.org/obo/VTO_0011988,Homininae,http://purl.obolibrary.org/obo/VTO_0011981,Hominidae,,
http://purl.obolibrary.org/obo/VTO_0011009,Bovinae,http://purl.obolibrary.org/obo/VTO_0010984,Bovidae,,
http://purl.obolibrary.org/obo/VTO_0008278,Laurasiatheria,http://purl.obolibrary.org/obo/VTO_0008070,Eutheria,,
http://purl.obolibrary.org/obo/VTO_0011577,Euarchontoglires,http://purl.obolibrary.org/obo/VTO_0008070,Eutheria,,
http://purl.obolibrary.org/obo/VTO_0011806,Simiiformes,http://purl.obolibrary.org/obo/VTO_0011805,Haplorrhini,,
http://purl.obolibrary.org/obo/VTO_0011808,Cercopithecoidea,http://purl.obolibrary.org/obo/VTO_0011807,Catarrhini,,
http://purl.obolibrary.org/obo/VTO_0011980,Hominoidea,http://purl.obolibrary.org/obo/VTO_0011807,Catarrhini,,
http://purl.obolibrary.org/obo/VTO_0001465,Tetrapoda,http://purl.obolibrary.org/obo/VTO_9030591,Elpistostegalia,,
http://purl.obolibrary.org/obo/VTO_0008067,Amniota,http://purl.obolibrary.org/obo/VTO_9000177,Reptiliomorpha,,
http://purl.obolibrary.org/obo/VTO_0008069,Theria,http://purl.obolibrary.org/obo/VTO_0008068,Mammalia,,
http://purl.obolibrary.org/obo/VTO_0010456,Carnivora,http://purl.obolibrary.org/obo/VTO_0008278,Laurasiatheria,,
http://purl.obolibrary.org/obo/VTO_0011338,Suina,http://purl.obolibrary.org/obo/VTO_0010956,Cetartiodactyla,,
http://purl.obolibrary.org/obo/VTO_0010978,Pecora,http://purl.obolibrary.org/obo/VTO_0010977,Ruminantia,,
http://purl.obolibrary.org/obo/VTO_0011805,Haplorrhini,http://purl.obolibrary.org/obo/VTO_0011621,Primates,,
http://purl.obolibrary.org/obo/VTO_0010457,Caniformia,http://purl.obolibrary.org/obo/VTO_0010456,Carnivora,,
http://purl.obolibrary.org/obo/VTO_0011857,Chlorocebus,http://purl.obolibrary.org/obo/VTO_0011810,Cercopithecinae,,
http://purl.obolibrary.org/obo/VTO_0008068,Mammalia,http://purl.obolibrary.org/obo/VTO_9031854,Cynodontia,,
http://purl.obolibrary.org/obo/VTO_0000001,Chordata,,,,
http://purl.obolibrary.org/obo/VTO_0000007,Vertebrata,http://purl.obolibrary.org/obo/VTO_0000006,Craniata,,
http://purl.obolibrary.org/obo/VTO_0000008,Gnathostomata,http://purl.obolibrary.org/obo/VTO_0000007,Vertebrata,,
http://purl.obolibrary.org/obo/VTO_0001464,Sarcopterygii,http://purl.obolibrary.org/obo/VTO_0001463,Euteleostomi,,
http://purl.obolibrary.org/obo/VTO_0000006,Craniata,http://purl.obolibrary.org/obo/VTO_0000001,Chordata,,
http://purl.obolibrary.org/obo/VTO_0010956,Cetartiodactyla,http://purl.obolibrary.org/obo/VTO_0008278,Laurasiatheria,,
http://purl.obolibrary.org/obo/VTO_0008070,Eutheria,http://purl.obolibrary.org/obo/VTO_0008069,Theria,,
http://purl.obolibrary.org/obo/VTO_0011621,Primates,http://purl.obolibrary.org/obo/VTO_0011577,Euarchontoglires,,
http://purl.obolibrary.org/obo/VTO_0011807,Catarrhini,http://purl.obolibrary.org/obo/VTO_0011806,Simiiformes,,
