Term_IRI,UberonNum,Term_label,Parent_term_IRI,Parent_term_label,UberonNumParent,Definition
http://purl.obolibrary.org/obo/UBERON_2001737,2001737,coracoid foramen,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Foramen that is located in the coracoid.
http://purl.obolibrary.org/obo/UBERON_2001742,2001742,auditory foramen,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Foramen through which cranial nerve VIII (auditory) exits.
http://purl.obolibrary.org/obo/UBERON_2001795,2001795,ceratohyal foramen,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Foramen in the anterior ceratohyal for passage of the hyoidean artery.
http://purl.obolibrary.org/obo/UBERON_0000165,0000165,mouth,http://purl.obolibrary.org/obo/UBERON_0004921,subdivision of digestive tract,0004921,"The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks)."
http://purl.obolibrary.org/obo/UBERON_0001004,0001004,respiratory system,http://purl.obolibrary.org/obo/UBERON_0000467,anatomical system,0000467,Functional system which consists of structures involved in respiration.
http://purl.obolibrary.org/obo/UBERON_2001808,2001808,facial foramen,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Foramen through which cranial nerve VII (facial) exits.
http://purl.obolibrary.org/obo/UBERON_0000126,0000126,cranial nerve nucleus,http://purl.obolibrary.org/obo/UBERON_0002308,nucleus of brain,0002308,Nucleus that receives projections from or contains neurons that send projections through one of the cranial nerves
http://purl.obolibrary.org/obo/UBERON_0000916,0000916,abdomen,http://purl.obolibrary.org/obo/UBERON_0009569,subdivision of trunk,0009569,The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdominal cavity and visceral organs. The dorsal part includes the abdominal section of the vertebral column.
http://purl.obolibrary.org/obo/UBERON_2002012,2002012,dentary foramen,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Foramen located on the dentary for passage of the mandibular nerve.
http://purl.obolibrary.org/obo/UBERON_0000955,0000955,brain,http://purl.obolibrary.org/obo/UBERON_0000062,organ,0000062,"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
http://purl.obolibrary.org/obo/UBERON_0005409,0005409,alimentary part of gastrointestinal system,http://purl.obolibrary.org/obo/UBERON_0000467,anatomical system,0000467,The part of the digestive system that excludes the hepatobiliary system.
http://purl.obolibrary.org/obo/UBERON_0000010,0000010,peripheral nervous system,http://purl.obolibrary.org/obo/UBERON_0011216,organ system subdivision,0011216,"A major division of the nervous system that contains nerves which connect the central nervous system (CNS) with sensory organs, other organs, muscles, blood vessels and glands."
http://purl.obolibrary.org/obo/UBERON_0001016,0001016,nervous system,http://purl.obolibrary.org/obo/UBERON_0000467,anatomical system,0000467,"The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organism, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior [CUMBO]."
http://purl.obolibrary.org/obo/UBERON_2002066,2002066,auditory fenestra,http://purl.obolibrary.org/obo/UBERON_0005744,bone foramen,0005744,Opening in the neurocranium to allow communication between the swimbladder and the inner ear.
http://purl.obolibrary.org/obo/UBERON_0014859,0014859,megalopa stage,http://purl.obolibrary.org/obo/UBERON_0014858,crustacean post-larval stage,0014858,The crustacean post-larval stage of a crab
http://purl.obolibrary.org/obo/UBERON_0014862,0014862,trochophore stage,http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,0000105,"A larval stage of a trochozoan in which the organism is in free-swimming planktonic form with several bands of cilia[WP,modified]."
http://purl.obolibrary.org/obo/UBERON_0014860,0014860,copepodite stage,http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,0000105,A development stage of copepods which follows the nauplius stage. It is segmented with more than 3 pairs of appendages
http://purl.obolibrary.org/obo/UBERON_0018542,0018542,mandibular symphyseal region,http://purl.obolibrary.org/obo/UBERON_0005913,zone of bone organ,0005913,The region of the mandible on or near the midline (near the mandiblular symphysis)
http://purl.obolibrary.org/obo/UBERON_0022262,0022262,auditory radiation,http://purl.obolibrary.org/obo/UBERON_0022260,radiation of cerebral hemisphere,0022260,"The acoustic radiations or auditory radiations are structures found in the brain, in the ventral cochlear pathway, a part of the auditory system. Lesions to the auditory radiations could be a cause of cortical deafness."
http://purl.obolibrary.org/obo/UBERON_0020358,0020358,accessory XI nerve nucleus,http://purl.obolibrary.org/obo/UBERON_0007635,nucleus of medulla oblongata,0007635,"The spinal accessory nucleus lies within the cervical spinal cord (C1-C5) in the ventral horn. The nucleus ambiguus is classically said to provide the 'cranial component' of the accessory nerve. However, the very existence of this cranial component has been recently questioned and seen as contributing exclusively to the vagus nerve. The terminology continues to be used in describing both human anatomy, and that of other animals."
http://purl.obolibrary.org/obo/UBERON_4200247,4200247,lateral parasymphysial foramen,http://purl.obolibrary.org/obo/UBERON_4200245,parasymphysial plate,4200245,
http://purl.obolibrary.org/obo/UBERON_0019303,0019303,occipital sulcus,http://purl.obolibrary.org/obo/UBERON_0013118,sulcus of brain,0013118,
http://purl.obolibrary.org/obo/UBERON_0022296,0022296,inferior palpebral branch of infra-orbital nerve,http://purl.obolibrary.org/obo/UBERON_0022297,palpebral branch of infra-orbital nerve,0022297,A nerve that innervates a lower eyelid and is a branch of the infra-orbital branch of the maxillary nerve.
http://purl.obolibrary.org/obo/UBERON_0019292,0019292,white matter of pons,http://purl.obolibrary.org/obo/UBERON_0014891,brainstem white matter,0014891,
http://purl.obolibrary.org/obo/UBERON_4200245,4200245,parasymphysial plate,http://purl.obolibrary.org/obo/UBERON_0004768,bone of lower jaw,0004768,"Bone, often with tooth attachments, on the lingual side of the anterior of the lower jaw."
http://purl.obolibrary.org/obo/UBERON_0031948,0031948,obsolete predominantly gray regional part of ventral posteromedial nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0024528,0024528,obsolete predominantly gray regional part of oculomotor nuclear complex,,,,
http://purl.obolibrary.org/obo/UBERON_0027239,0027239,dopaminergic system,http://purl.obolibrary.org/obo/UBERON_0025589,catecholamine system,0025589,"any molecule, protein, cell, tissue or organ that is related to dopamine."
http://purl.obolibrary.org/obo/UBERON_0022988,0022988,obsolete regional part of thalamus,,,,
http://purl.obolibrary.org/obo/UBERON_0034671,0034671,arcuate sulcus,http://purl.obolibrary.org/obo/UBERON_0013118,sulcus of brain,0013118,"Composite sulcus of the frontal lobe of the macaque. Located on the dorsolateral surface, it consists of the superior ramus of the arcuate sulcus (macaque), the inferior ramus of the arcuate sulcus and the spur of the arcuate sulcus (macaque) (http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=2379)"
http://purl.obolibrary.org/obo/UBERON_0025104,0025104,ectocalcarine sulcus,http://purl.obolibrary.org/obo/UBERON_0019303,occipital sulcus,0019303,
http://purl.obolibrary.org/obo/UBERON_0026117,0026117,obsolete predominantly Gray regional part of inferior parietal cortex,,,,
http://purl.obolibrary.org/obo/UBERON_0027649,0027649,obsolete regional part of lateral ventricle,,,,
http://purl.obolibrary.org/obo/UBERON_0028398,0028398,hadjikhani et al. (1998) Visuotopic area V1d,http://purl.obolibrary.org/obo/UBERON_0026765,Hadjikhani et al. (1998) visuotopic partition scheme region,0026765,
http://purl.obolibrary.org/obo/UBERON_0026586,0026586,vestibular canal,http://purl.obolibrary.org/obo/UBERON_0024952,duct part of cochlear canal,0024952,
http://purl.obolibrary.org/obo/UBERON_0023401,0023401,obsolete regional part of spinal cord gray commissure,,,,
http://purl.obolibrary.org/obo/UBERON_0026000,0026000,obsolete regional part of cerebral ventricular cavity,,,,
http://purl.obolibrary.org/obo/UBERON_0022453,0022453,olfactory entorhinal cortex,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,"A part of the entorhinal area defined on the basis of connectivity. It is the rostral portion, which receives a projection from the olfactory bulb (Price-90)-Adapted from Brain Info"
http://purl.obolibrary.org/obo/UBERON_0031314,0031314,obsolete predominantly gray regional part of ventral posterolateral nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0025778,0025778,obsolete predominantly white regional part of basal part of pons,,,,
http://purl.obolibrary.org/obo/UBERON_0026293,0026293,thoracic spinal cord gray commissure,http://purl.obolibrary.org/obo/UBERON_0014636,thoracic spinal cord gray matter,0014636,
http://purl.obolibrary.org/obo/UBERON_0025930,0025930,obsolete regional part of dentate nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0022778,0022778,obsolete regional part of medial mammillary nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0025764,0025764,obsolete predominantly gray regional part of adenohypophysis,,,,
http://purl.obolibrary.org/obo/UBERON_0028326,0028326,obsolete regional part of basal amygdaloid nucleus,,,,
http://purl.obolibrary.org/obo/UBERON_0024900,0024900,left sub-lobar region,http://purl.obolibrary.org/obo/UBERON_0023255,sub-lobar region,0023255,
http://purl.obolibrary.org/obo/UBERON_0026584,0026584,tympanic canal,http://purl.obolibrary.org/obo/UBERON_0024952,duct part of cochlear canal,0024952,
http://purl.obolibrary.org/obo/UBERON_0026020,0026020,obsolete predominantly gray regional part of transverse frontopolar gyri complex,,,,
http://purl.obolibrary.org/obo/UBERON_0029503,0029503,sacral spinal cord gray matter,http://purl.obolibrary.org/obo/UBERON_0002315,gray matter of spinal cord,0002315,
http://purl.obolibrary.org/obo/UBERON_0024826,0024826,obsolete regional part of middle ear,,,,
http://purl.obolibrary.org/obo/UBERON_0025592,0025592,glutamatergic system,http://purl.obolibrary.org/obo/UBERON_0023943,molecular system,0023943,"any molecule, protein, cell, tissue or organ that is related to glutamate (when in the role of a neurotransmitter)."
http://purl.obolibrary.org/obo/UBERON_0026106,0026106,obsolete superficial feature part of cerebral peduncle,,,,
http://purl.obolibrary.org/obo/UBERON_0028434,0028434,"Ongur, Price, and Ferry (2003) area Ial",http://purl.obolibrary.org/obo/UBERON_0026777,"Ongur, Price, and Ferry (2003) prefrontal cortical partition scheme region",0026777,Insula agranular lateral area
http://purl.obolibrary.org/obo/UBERON_0022650,0022650,obsolete regional part of parietal lobe,,,,
http://purl.obolibrary.org/obo/UBERON_0034919,0034919,juvenile stage,http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,0000105,The stage of being no more dependent of the nest and/or from caregivers for subsistence while having not reach sexual maturity.
http://purl.obolibrary.org/obo/UBERON_0035087,0035087,fracture plane,http://purl.obolibrary.org/obo/UBERON_0035086,plane of autotomy,0035086,A plane of autotomy that divides an appendage through a bone.
http://purl.obolibrary.org/obo/UBERON_0034969,0034969,epithelial layer of duct,http://purl.obolibrary.org/obo/UBERON_0003914,epithelial tube,0003914,
http://purl.obolibrary.org/obo/UBERON_0035019,0035019,"inferior olive, beta nucleus",http://purl.obolibrary.org/obo/UBERON_0007244,inferior olivary nucleus,0007244,
http://purl.obolibrary.org/obo/UBERON_0034984,0034984,nerve to quadratus femoris,http://purl.obolibrary.org/obo/UBERON_0001021,nerve,0001021,The nerve to quadratus femoris is a nerve that provides innervation to the quadratus femoris and gemellus inferior muscles.
http://purl.obolibrary.org/obo/UBERON_0034999,0034999,posterolateral cortical amygdaloid nucleus,http://purl.obolibrary.org/obo/UBERON_0009663,telencephalic nucleus,0009663,
http://purl.obolibrary.org/obo/UBERON_0035076,0035076,parotid gland myoepithelium,http://purl.obolibrary.org/obo/UBERON_0003360,epithelium of parotid gland,0003360,"epithelium that consists of stellate-shaped contractile cells with long dendritic processes that surround the secretory acini and intercalated ducts of the parotid gland, usually found in the glandular epithelium as a thin layer above the basement membrane but generally beneath the luminal cells; they display features of both smooth muscle and epithelium, such as numerous microfilaments with focal densities in the cytoplasmic processes, and desmosomes which attach them to the epithelial cells; their functions include contraction when the gland is stimulated to secrete, compressing or reinforcing the underlying parenchymal cells, thus aiding in the expulsion of saliva and preventing damage to the other cells"
http://purl.obolibrary.org/obo/UBERON_0035523,0035523,anterior surface of prostate,http://purl.obolibrary.org/obo/UBERON_0035480,surface of prostate,0035480,The aspect of the prostate facing the pubic symphysis.
http://purl.obolibrary.org/obo/UBERON_0035341,0035341,posterior lobe of prostate,http://purl.obolibrary.org/obo/UBERON_0001328,lobe of prostate,0001328,The prostate gland lobe that is located on the posterior side of the organ.
http://purl.obolibrary.org/obo/UBERON_0035441,0035441,apex of prostate,http://purl.obolibrary.org/obo/UBERON_0006983,anatomical point,0006983,The lowest part of the prostate gland adjacent to the superior fascia of the urogenital diaphragm.
http://purl.obolibrary.org/obo/UBERON_0035380,0035380,branch of anterior cerebral artery,http://purl.obolibrary.org/obo/UBERON_0010314,structure with developmental contribution from neural crest,0010314,"An arterial branch arising from the anterior cerebral artery. It includes the callosomarginal artery, frontopolar artery, medial orbitofrontal artery, pericallosal artery, and recurrent artery of Heubner."
http://purl.obolibrary.org/obo/UBERON_0035307,0035307,branch of vertebral artery,http://purl.obolibrary.org/obo/UBERON_0004573,systemic artery,0004573,
http://purl.obolibrary.org/obo/UBERON_0035234,0035234,medial circumflex femoral vein,http://purl.obolibrary.org/obo/UBERON_0003516,hindlimb blood vessel,0003516,A circumflex femoral vein that accompanies the medial circumflex femoral artery.
http://purl.obolibrary.org/obo/UBERON_0035646,0035646,anterior superior alveolar nerve,http://purl.obolibrary.org/obo/UBERON_0018398,superior alveolar nerve,0018398,"The anterior superior alveolar branch (anterior superior dental branch), of considerable size, is given off from the maxillary nerve just before its exit from the infraorbital foramen; it descends in a canal in the anterior wall of the maxillary sinus, and divides into branches which supply the incisor and canine teeth. It communicates with the middle superior alveolar branch, and gives off a nasal branch, which passes through a minute canal in the lateral wall of the inferior meatus, and supplies the mucous membrane of the anterior part of the inferior meatus and the floor of the nasal cavity, communicating with the nasal branches from the sphenopalatine ganglion."
http://purl.obolibrary.org/obo/UBERON_0035619,0035619,retropharyngeal space,http://purl.obolibrary.org/obo/UBERON_0035617,peripharyngeal space,0035617,The portion of the peripharyngeal space that is located posterior to the pharynx.
http://purl.obolibrary.org/obo/UBERON_0035769,0035769,mesenteric ganglion,http://purl.obolibrary.org/obo/UBERON_0003964,prevertebral ganglion,0003964,
http://purl.obolibrary.org/obo/UBERON_0035774,0035774,thoracic aortic plexus,http://purl.obolibrary.org/obo/UBERON_0035772,aortic plexus,0035772,The thoracic aortic plexus is a sympathetic plexus in the region of the thoracic aorta.
